Date;Suburb;Location;Area;Maximum_temperature(C);Evaporation(mm)
12/3/23;Mariginiup;JANDABUP and MARIGINIUP;CITY OF WANNEROO;28;14,02
12/3/23;Hamersley;HAMERSLEY RANGE;SHIRE OF ASHBURTON;26;6,08
12/10/23;South Lake;Lake Muir Nature Reserve;Shire of Manjimup;31;10,08
12/10/23;Bullsbrook;BULLSBROOK;CITY OF SWAN;31;14,02
12/10/23;Jarrahdale;OLDBURY and WELLARD;SHIRE OF SERPENTINE-JARRAHDALE and the CITY OF KWINANA;31;10,08
12/10/23;Wellard;OLDBURY and WELLARD;SHIRE OF SERPENTINE-JARRAHDALE and the CITY OF KWINANA;31;14,02
12/10/23;Oldbury;OLDBURY and WELLARD;SHIRE OF SERPENTINE-JARRAHDALE and the CITY OF KWINANA;31;14,02
12/10/23;Serpentine;OLDBURY and WELLARD;SHIRE OF SERPENTINE-JARRAHDALE and the CITY OF KWINANA;31;14,02
12/10/23;South Lake;Lake Muir Nature Reserve;Shire of Manjimup;31;10,08
12/17/23;Bullsbrook;BULLSBROOK;CITY OF SWAN;35;14,02
12/17/23;Bullsbrook;BULLSBROOK;CITY OF SWAN;35;14,02
12/24/23;Jarrahdale;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;36;12,08
12/24/23;Keysbrook;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;33;14,02
12/24/23;Serpentine;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;31;14,02
12/24/23;The Spectacles;POSTANS and THE SPECTACLES;CITY OF KWINANA;34;14,02
12/24/23;Postans;POSTANS and THE SPECTACLES;CITY OF KWINANA;36;12,08
12/24/23;Mundaring;PARKERVILLE;SHIRE OF MUNDARING;36;14,02
12/24/23;Parkerville;PARKERVILLE;SHIRE OF MUNDARING;36;14,02
12/24/23;Gidgegannup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;36;12,08
12/24/23;Wooroloo;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;36;12,08
12/24/23;Bailup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;36;11,01
